MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367597640,2020-01-01T00:00:02,40.80206,-73.8849,0.1,95,106,PORT RICHMOND,IMO9648051,WDH2442,90,0,88,21,4.6,,A
367006570,2020-01-01T00:00:07,40.64158,-74.12054,0,215.6,159,ELLEN S BOUCHARD,IMO8117952,WRA5918,31,0,34,10,4.5,57,A
316013198,2020-01-01T00:00:02,49.20584,-123.09036,0,286.5,511,NITA MARIA,,CZ3954,,0,19,6,2.6,,A
367140820,2020-01-01T00:00:00,37.04439,-89.30173,5,125.6,123,TOM BEHRINGER,,WDD4149,31,12,39,12,,31,A
367018620,2020-01-01T00:00:01,53.87941,-166.5518,0.1,284.5,511,SEABROOKE,IMO7908237,WDC4069,30,0,33,9,3.5,30,A
316001687,2020-01-01T00:00:03,42.91083,-79.24361,2.9,190.3,192,ALGOMA ENTERPRISE,IMO7726677,VCJM,70,0,222,23,9.2,,A
367654050,2020-01-01T00:00:08,36.99897,-89.1605,0,360,511,GENE CASPER,,WDH8038,31,0,20,,,,A
311931000,2020-01-01T00:00:21,29.83378,-89.9967,0.1,141,25,ARTEMIS,IMO9291640,C6UI8,80,1,186,32,13,80,A
367670180,2020-01-01T00:00:17,26.70207,-80.04514,0,306.6,511,SASHAY,,WDH9647,37,,31,,,,B
367471930,2020-01-01T00:00:02,39.62126,-80.87707,0,360,511,BETTY LOU,,WDH8114,31,0,14,6,,,A
338643000,2020-01-01T00:00:04,47.63529,-122.32906,0,84.3,127,VAERDAL,IMO7947685,WDF6582,30,0,33,9,,30,A
367046890,2020-01-01T00:00:06,46.16772,-123.91443,0,304.7,511,PACIFIC FUTURE,IMO7948316,WDC5819,30,7,21,6,,,A
316026695,2020-01-01T00:00:06,46.46953,-84.28782,4.8,331.2,332,CSL WELLAND,IMO9665279,CFK5151,70,0,225,23,9,,A
367028790,2020-01-01T00:00:08,30.20171,-93.32386,0,106.6,511,CAPT KENT,,WCY6347,31,5,17,7,,52,A
431127000,2020-01-01T00:00:10,31.83374,-130.24586,10.1,110.5,104,NOBLE SALUTE,IMO9602734,7JSP,70,0,234,38,14.5,79,A
367353110,2020-01-01T00:00:06,38.88152,-125.11968,13.7,336,336,PELICAN STATE,IMO9408102,WDE4433,80,0,183,32,12.8,80,A
367130910,2020-01-01T00:00:04,41.4556,-70.59939,0.2,264.7,83,ISLAND HOME,IMO9410478,WDD3413,60,0,77,19,3.3,,A
367302380,2020-01-01T00:00:00,30.01945,-93.98045,0,246.8,109,HOUSTON,,WDD8755,31,0,23,10,,57,A
316011504,2020-01-01T00:00:07,49.19533,-122.90733,0,304.1,158,SEASPAN PUSHER,IMO8744688,CFG582,31,0,30,8,5.1,90,A
367015830,2020-01-01T00:00:06,36.33785,-89.56761,3,99.2,511,ARLENE,IMO8991061,WDF2437,31,12,37,10,,,A
367703060,2020-01-01T00:00:05,38.91714,-82.12419,0,360,511,FRED R SHEDD,,WDI4885,31,0,15,,,,A
367595710,2020-01-01T00:00:09,29.3239,-94.78334,0,152,511,CAPT TREY,IMO9264623,WDH2249,90,0,44,10,3,79,A
367702520,2020-01-01T00:00:11,30.15893,-90.99766,0,240.2,346,SAFETY RUNNER,,WDI4835,31,12,21,8,,31,A
367013060,2020-01-01T00:00:12,47.67404,-122.20936,0,360,511,LADY MARY,,WCY4834,60,5,26,7,,,A
367685950,2020-01-01T00:00:08,29.90588,-90.11905,0,54.1,283,CATHERINE MAUREEN,,WDI3210,31,0,29,,,,A
367004510,2020-01-01T00:00:06,29.97512,-90.39851,1.8,354.2,156,BAYOU BLACK,,WDA2716,31,15,18,7,,,A
246100000,2020-01-01T00:00:09,24.63638,-84.17574,18.8,292.4,291,SUOMIGRACHT,IMO9288057,PHBT,70,0,185,25,10.6,70,A
366709770,2020-01-01T00:00:03,48.52812,-122.74278,15.7,281.1,283,WSF CHELAN,IMO7808140,WCX7878,60,0,100,23,5.2,,A
338926425,2020-01-01T00:00:08,30.33894,-88.57885,0,240.5,283,CG JACOB POROO,,NJPO,90,0,,,,,A
